file,recommendation,pages,avg_chars_per_page,image_pages_pct,image_pages,total_chars,size_mb,error
2011-06-10_MO-PII-71Bis-2011.pdf,ocr_required,3578,108.9,0.995,3559,389652,344.4,
2005-12-27_MO-PII-208Bis-2005.pdf,ocr_required,712,91.4,1.000,712,65093,46.1,
2005-06-21_MO-PII-85Bis-2005.pdf,ocr_required,704,120.0,0.990,697,84475,18.3,
2006-06-23_MO-PII-101Bis-2006.pdf,ocr_required,512,147.8,0.986,505,75663,33.4,
2006-09-29_MO-PII-139Bis-2006.pdf,ocr_required,468,106.9,0.972,455,50007,34.9,
2006-11-24_MO-PII-173Bis-2006.pdf,ocr_required,216,167.9,0.986,213,36256,22.4,
2004-05-12_MO-PII-65Bis-2004.pdf,ocr_required,168,100.3,0.976,164,16855,11.2,
2004-03-09_MO-PII-23Bis-2004.pdf,ocr_required,56,93.2,0.964,54,5217,3.0,
2014-01-20_MO-PII-1R-2014.pdf,ocr_required,44,99.2,0.955,42,4363,4.1,
2016-05-26_MO-PII-11R-2016.pdf,ocr_recommended,120,335.4,0.308,37,40248,32.5,
2016-05-25_MO-PII-9R-2016.pdf,ocr_recommended,102,281.1,0.265,27,28674,62.5,
2016-05-25_MO-PII-10R-2016.pdf,ocr_recommended,100,291.8,0.260,26,29177,28.0,
2017-12-15_MO-PII-5R-2017.pdf,hybrid,76,1841.5,0.513,39,139956,2.6,
2000-10-09_MO-PII-127-2000.pdf,hybrid,72,1893.4,0.639,46,136328,1.8,
2014-01-23_MO-PII-8R-2014.pdf,hybrid,72,1902.3,0.514,37,136965,2.9,
2016-06-21_MO-PII-104-2016.pdf,hybrid,4,1910.0,0.500,2,7640,0.1,
2000-06-22_MO-PII-86-2000.pdf,hybrid,2,1380.5,0.500,1,2761,0.0,
2000-07-25_MO-PII-21c-2000.pdf,hybrid,2,1771.5,0.500,1,3543,0.0,
2000-08-08_MO-PII-23c-2000.pdf,hybrid,2,1250.5,0.500,1,2501,0.0,
2000-08-08_MO-PII-24c-2000.pdf,hybrid,2,1359.0,0.500,1,2718,0.0,
2000-08-08_MO-PII-25c-2000.pdf,hybrid,2,1225.0,0.500,1,2450,0.0,
2002-11-12_MO-PII-37c-2002.pdf,hybrid,2,1862.5,0.500,1,3725,0.0,
2003-11-14_MO-PII-143-2003.pdf,hybrid,2,794.5,1.000,2,1589,0.2,
2007-06-18_MO-PII-88-2007.pdf,hybrid,2,1603.0,1.000,2,3206,0.2,
2009-12-28_MO-PII-162-2009.pdf,hybrid,2,1954.5,1.000,2,3909,0.1,
2012-02-17_MO-PII-5-2012.pdf,hybrid,2,1918.5,1.000,2,3837,0.0,
2012-09-19_MO-PII-78-2012.pdf,hybrid,2,1856.0,1.000,2,3712,0.1,
2012-11-08_MO-PII-111-2012.pdf,hybrid,2,1832.0,1.000,2,3664,0.1,
2012-12-17_MO-PII-117-2012.pdf,hybrid,2,1868.5,1.000,2,3737,0.1,
2013-12-17_MO-PII-159-2013.pdf,hybrid,2,1999.5,1.000,2,3999,0.1,
2014-05-15_MO-PII-59-2014.pdf,hybrid,2,1821.5,1.000,2,3643,0.1,
